TPDEL	TPFIL1	TPCONO	TPPROD	TPDESC	TPSTCC	TPIND8	TPFIL2	TPPLGR	TPPLCL	TPPLGH	TPPLCH	TPPRGP	TPTOCO	TPCOL	TPICOL	TPSHDS	TPPRCL	TPFIL3	TPSMSG	TPGRAV	TPINGP	TPSGLN	TPABDS	TPSELL	TPFIL4	TPALTD	TPTISQ	TPFIL5	TPVCFC	TPFLCD	TPRPSL	TPDTTM	TPSPRT	TPIRSC	TPOWNB	TPFIL7
 	      	10	7146	PG1 MTRCYCLE OIL 10W40 JASO MA	        	20161214	 	0	0	               	          	K4	0	0	0	                              	M10	 	 	33.8	L1	13137146	PG1 10W40J	Y	  	                    	0	                                                                  	LU	Y	 	20151027091724	   	   	 	                                                                                                                                                                                                                                              
 	      	10	7733	LTD SLIP GL-5 SAE 80W90       	        	20170101	 	0	0	               	          	K6	0	0	0	                              	G05	 	 	28.3	L1	13137733	GL5 80W90 	Y	  	                    	0	                                                                  	LU	Y	 	20151027091949	   	   	 	                                                                                                                                                                                                                                              
 	      	10	7718	GEAR OIL 80W90 (GL-4)         	        	20170101	 	0	0	               	          	K4	0	0	0	                              	G04	 	 	28.4	L1	13137718	GL4 80W90 	Y	  	                    	0	                                                                  	LU	Y	 	20151027092215	   	   	 	                                                                                                                                                                                                                                              
 	      	10	1260	HYPRENE L750                  	        	0	 	0	0	               	          	KA	0	0	0	                              	Y11	 	 	22.7	M1	13000000	HYPRNEL750	N	  	                    	0	                                                                  	LU	Y	 	20151104084724	   	   	 	                                                                                                                                                                                                                                              
 	      	10	1261	ALTRA SEAL SWELL              	        	0	 	0	0	               	          	KA	0	0	0	                              	Y11	 	 	21.0	N1	13000000	ALTRA SEAL	N	  	                    	0	                                                                  	LU	Y	 	20151104084825	   	   	 	                                                                                                                                                                                                                                              
 	      	10	4120	REFINERY DISTILLATE FEEDSTOCK 	        	0	 	0	0	               	          	K2	0	0	0	                              	D10	 	 	42.2	E2	13134120	REF DIST F	Y	  	                    	0	                                                                  	LU	Y	 	20151124202603	   	281	 	                                                                                                                                                                                                                                              
 	      	10	7930	RISLONE CONC REAR MAIN SEAL RE	        	0	 	0	0	               	          	K4	0	0	0	                              	M03	 	 	22.9	L1	13137930	RIS MN SEA	Y	  	                    	0	                                                                  	LU	Y	 	20151124203714	   	   	 	                                                                                                                                                                                                                                              
 	      	10	1262	LZ 9297                       	        	0	 	0	0	               	          	KA	0	0	0	                              	Y11	 	 	-6.8	N1	13000000	LZ 9297   	N	  	                    	0	                                                                  	LU	Y	 	20151201101759	   	   	 	                                                                                                                                                                                                                                              
 	      	10	7934	RISLONE 4102 ENGINE TRMT CONCE	        	0	 	0	0	               	          	K4	0	0	0	                              	M03	 	 	30.6	L1	13137934	RIS 4102  	Y	  	                    	0	                                                                  	LU	Y	 	20151201102117	   	   	 	                                                                                                                                                                                                                                              
 	      	10	7179	MARINE DSL CYL LUB 70BN SAE50 	        	20230320	 	0	0	               	          	K4	0	0	0	                              	M20	 	 	20.8	L1	13137179	70BN SAE50	Y	  	                    	0	                                                                  	LU	Y	 	20151204084333	   	   	 	                                                                                                                                                                                                                                              
