UCDEL	UCCONO	UCPROD	UCFUNM	UCTUNM	UCOPER	UCCVFA	UCF001
I	10	4608	LBS	GAL	D	7.5957000	                                      
I	10	4610	GAL	LBS	M	6.6900000	                                      
I	10	4610	LBS	GAL	D	6.6900000	                                      
I	10	4611	GAL	LBS	M	6.6410000	                                      
I	10	4611	LBS	GAL	D	6.6410000	                                      
I	10	4612	GAL	LBS	M	8.3310000	                                      
I	10	4612	LBS	GAL	D	8.3310000	                                      
I	10	4614	GAL	LBS	M	7.2060000	                                      
I	10	4614	LBS	GAL	D	7.2060000	                                      
I	10	4615	GAL	LBS	M	7.2060000	                                      
I	10	4615	LBS	GAL	D	7.2060000	                                      
I	10	4618	GAL	LBS	M	7.8403000	                                      
I	10	4618	LBS	GAL	D	7.8403000	                                      
I	10	4670	GAL	LBS	M	7.1658000	                                      
I	10	4670	LBS	GAL	D	7.1658000	                                      
I	10	4675	GAL	LBS	M	7.1530000	                                      
I	10	4675	LBS	GAL	D	7.1530000	                                      
I	10	4771	GAL	LBS	M	7.2435000	                                      
I	10	4771	LBS	GAL	D	7.2435000	                                      
I	10	4772	GAL	LBS	M	6.9522000	                                      
I	10	4772	LBS	GAL	D	6.9522000	                                      
I	10	4920	GAL	LBS	M	8.0330000	                                      
I	10	4920	LBS	GAL	D	8.0330000	                                      
I	10	5013	GAL	LBS	M	6.2430000	                                      
I	10	5013	LBS	GAL	D	6.2430000	                                      
I	10	5015	GAL	LBS	M	5.6593000	                                      
I	10	5015	LBS	GAL	D	5.6593000	                                      
I	10	5018	GAL	LBS	M	7.3640000	                                      
I	10	5018	LBS	GAL	D	7.3640000	                                      
 	10	5087	GAL	LBS	M	7.2460000	                                      
 	10	5087	LBS	GAL	D	7.2460000	                                      
 	10	5111	GAL	LBS	M	7.2020000	                                      
 	10	5111	LBS	GAL	D	7.2020000	                                      
 	10	5112	GAL	LBS	M	7.2960000	                                      
 	10	5112	LBS	GAL	D	7.2960000	                                      
I	10	5224	GAL	LBS	M	7.3280000	                                      
I	10	5224	LBS	GAL	D	7.3280000	                                      
I	10	5265	GAL	LI 	M	3.7854000	                                      
I	10	5265	LI 	GAL	D	3.7854000	                                      
 	10	5510	GAL	LBS	M	8.0210000	                                      
 	10	5510	LBS	GAL	D	8.0210000	                                      
 	10	5520	GAL	LBS	M	7.2110000	                                      
 	10	5520	LBS	GAL	D	7.2110000	                                      
 	10	5530	GAL	LBS	M	7.5970000	                                      
 	10	5530	LBS	GAL	D	7.5970000	                                      
 	10	5540	GAL	LBS	M	7.7420000	                                      
 	10	5540	LBS	GAL	D	7.7420000	                                      
I	10	5561	GAL	LBS	M	7.2110000	                                      
I	10	5561	LBS	GAL	D	7.2210000	                                      
 	10	5570	GAL	LBS	M	7.2110000	                                      
 	10	5570	LBS	GAL	D	7.2110000	                                      
I	10	5623	GAL	LBS	M	7.3730000	                                      
I	10	5623	LBS	GAL	D	7.3730000	                                      
 	10	5674	GAL	LBS	M	7.6760000	                                      
 	10	5674	LBS	GAL	D	7.6760000	                                      
 	10	5678	GAL	LBS	M	7.2460000	                                      
 	10	5678	LBS	GAL	D	7.2460000	                                      
 	10	5679	GAL	LBS	M	7.2110000	                                      
 	10	5679	LBS	GAL	D	7.2110000	                                      
 	10	5708	GAL	LBS	M	7.3510000	                                      
 	10	5708	LBS	GAL	D	7.3510000	                                      
 	10	5748	GAL	LBS	M	7.7880000	                                      
 	10	5748	LBS	GAL	D	7.7880000	                                      
 	10	5894	GAL	LBS	M	7.6960000	                                      
 	10	5894	LBS	GAL	D	7.6960000	                                      
 	10	5903	GAL	LBS	M	8.3280000	                                      
 	10	5903	LBS	GAL	D	8.3280000	                                      
 	10	5924	GAL	LBS	M	7.3510000	                                      
 	10	5924	LBS	GAL	D	7.3510000	                                      
I	10	5930	GAL	LBS	M	7.5290000	                                      
I	10	5930	LBS	GAL	D	7.5290000	                                      
I	10	5964	GAL	LBS	M	8.1220000	                                      
I	10	5964	LBS	GAL	D	8.1220000	                                      
I	10	5970	GAL	LBS	M	7.3510000	                                      
I	10	5970	LBS	GAL	D	7.3510000	                                      
I	10	6006	GAL	LBS	M	7.2060000	                                      
I	10	6006	LBS	GAL	D	7.2060000	                                      
I	10	6074	GAL	LBS	M	7.8300000	                                      
I	10	6074	LBS	GAL	D	7.8300000	                                      
 	10	6087	GAL	LBS	M	7.3510000	                                      
 	10	6087	LBS	GAL	D	7.3510000	                                      
I	10	6127	GAL	LBS	M	7.2730000	                                      
I	10	6127	LBS	GAL	D	7.2730000	                                      
I	10	6128	GAL	LBS	M	7.2910000	                                      
I	10	6128	LBS	GAL	D	7.2910000	                                      
I	10	6157	GAL	LBS	M	6.8860000	                                      
I	10	6157	LBS	GAL	D	6.8860000	                                      
 	10	6177	GAL	LBS	M	6.6370000	                                      
 	10	6177	LBS	GAL	D	6.6370000	                                      
I	10	6191	GAL	LBS	M	7.2960000	                                      
I	10	6191	LBS	GAL	D	7.2960000	                                      
I	10	6193	GAL	LBS	M	7.8380000	                                      
I	10	6193	LBS	GAL	D	7.8380000	                                      
I	10	6195	GAL	LBS	M	7.3510000	                                      
I	10	6195	LBS	GAL	D	7.3510000	                                      
I	10	6230	GAL	LBS	M	7.3870000	                                      
I	10	6230	LBS	GAL	D	7.3870000	                                      
I	10	6235	GAL	LBS	M	7.4580000	                                      
I	10	6235	LBS	GAL	D	7.4580000	                                      
I	10	6345	GAL	LBS	M	7.7220000	                                      
I	10	6345	LBS	GAL	D	7.7220000	                                      
I	10	6352	GAL	LBS	M	7.2730000	                                      
I	10	6352	LBS	GAL	D	7.2730000	                                      
 	10	6429	GAL	LBS	M	7.3510000	                                      
 	10	6429	LBS	GAL	D	7.3510000	                                      
 	10	6547	GAL	LBS	M	7.6360000	                                      
 	10	6547	LBS	GAL	D	7.6360000	                                      
 	10	6613	GAL	LBS	M	8.2010000	                                      
 	10	6613	LBS	GAL	D	8.2010000	                                      
I	10	6627	GAL	LBS	M	7.2730000	                                      
I	10	6627	LBS	GAL	D	7.2730000	                                      
 	10	6628	GAL	LBS	M	7.2960000	                                      
 	10	6628	LBS	GAL	D	7.2960000	                                      
I	10	6629	GAL	LBS	M	7.2820000	                                      
I	10	6629	LBS	GAL	D	7.2820000	                                      
I	10	6663	GAL	LBS	M	8.6210000	                                      
I	10	6663	LBS	GAL	D	8.6210000	                                      
I	10	6693	GAL	LBS	M	8.0760000	                                      
I	10	6693	LBS	GAL	D	8.0760000	                                      
I	10	6694	GAL	LBS	M	7.3830000	                                      
I	10	6694	LBS	GAL	D	7.3830000	                                      
I	10	6695	GAL	LBS	M	7.3510000	                                      
I	10	6695	LBS	GAL	D	7.3510000	                                      
 	10	6697	GAL	LBS	M	8.0760000	                                      
 	10	6697	LBS	GAL	D	8.0760000	                                      
I	10	6753	GAL	LBS	M	7.2110000	                                      
I	10	6753	LBS	GAL	D	7.2110000	                                      
I	10	6753	LI 	GAL	D	3.7848000	                                      
I	10	6844	GAL	LBS	M	7.3800000	                                      
I	10	6844	LBS	GAL	D	7.3800000	                                      
I	10	6845	GAL	LBS	M	7.4000000	                                      
I	10	6845	LBS	GAL	D	7.4000000	                                      
I	10	6846	GAL	LBS	M	7.2100000	                                      
I	10	6846	LBS	GAL	D	7.2100000	                                      
I	10	6847	GAL	LBS	M	7.3000000	                                      
I	10	6847	LBS	GAL	D	7.3000000	                                      
I	10	6854	GAL	LBS	M	7.3000000	                                      
I	10	6854	LBS	GAL	D	7.3000000	                                      
I	10	6858	GAL	LBS	M	7.4000000	                                      
I	10	6858	LBS	GAL	D	7.4000000	                                      
I	10	6859	GAL	LBS	M	7.3400000	                                      
I	10	6859	LBS	GAL	D	7.3400000	                                      
I	10	6860	GAL	LBS	M	7.4400000	                                      
I	10	6860	LBS	GAL	D	7.4400000	                                      
I	10	6861	GAL	LBS	M	7.3600000	                                      
I	10	6861	LBS	GAL	D	7.3600000	                                      
I	10	6862	GAL	LBS	M	7.2910000	                                      
I	10	6862	LBS	GAL	D	7.2910000	                                      
I	10	6866	GAL	LBS	M	7.3970000	                                      
I	10	6866	LBS	GAL	D	7.3970000	                                      
I	10	6880	GAL	LBS	M	7.2020000	                                      
I	10	6880	LBS	GAL	D	7.2020000	                                      
I	10	6881	GAL	LBS	M	7.2870000	                                      
I	10	6881	LBS	GAL	D	7.2870000	                                      
I	10	6892	GAL	LBS	M	7.2730000	                                      
I	10	6892	LBS	GAL	D	7.2730000	                                      
I	10	6893	GAL	LBS	M	7.3370000	                                      
I	10	6893	LBS	GAL	D	7.3370000	                                      
I	10	6901	GAL	LBS	M	7.2020000	                                      
I	10	6901	LBS	GAL	D	7.2020000	                                      
 	10	6924	GAL	LBS	M	7.2380000	                                      
 	10	6924	LBS	GAL	D	7.2380000	                                      
I	10	6960	GAL	LBS	M	7.3510000	                                      
I	10	6960	LBS	GAL	D	7.3510000	                                      
I	10	6978	GAL	LBS	M	7.2020000	                                      
I	10	6978	LBS	GAL	D	7.2020000	                                      
I	10	7030	GAL	LBS	M	7.3199000	                                      
I	10	7030	LBS	GAL	D	7.3199000	                                      
I	10	7040	GAL	LBS	M	7.3830000	                                      
I	10	7040	LBS	GAL	D	7.3280000	                                      
I	10	7111	GAL	LBS	M	7.2640000	                                      
I	10	7111	LBS	GAL	D	7.2640000	                                      
I	10	7113	GAL	LBS	M	7.3702000	                                      
I	10	7113	LBS	GAL	D	7.3702000	                                      
I	10	7114	GAL	LBS	M	7.4200000	                                      
I	10	7114	LBS	GAL	D	7.4200000	                                      
I	10	7115	GAL	LBS	M	7.3600000	                                      
I	10	7115	LBS	GAL	D	7.3600000	                                      
I	10	7116	GAL	LBS	M	7.3154000	                                      
I	10	7116	LBS	GAL	D	7.3154000	                                      
I	10	7117	GAL	LBS	M	7.3600000	                                      
I	10	7117	LBS	GAL	D	7.3600000	                                      
I	10	7118	GAL	LBS	M	7.3600000	                                      
I	10	7118	LBS	GAL	D	7.3600000	                                      
I	10	7119	GAL	LBS	M	7.3600000	                                      
I	10	7119	LBS	GAL	D	7.3600000	                                      
I	10	7122	GAL	LBS	M	7.4200000	                                      
I	10	7122	LBS	GAL	D	7.4200000	                                      
I	10	7123	GAL	LBS	M	7.3730000	                                      
I	10	7123	LBS	GAL	D	7.3730000	                                      
I	10	7124	GAL	LBS	M	7.2780000	                                      
I	10	7124	LBS	GAL	D	7.2780000	                                      
I	10	7127	GAL	LBS	M	7.1731000	                                      
I	10	7127	LBS	GAL	D	7.1731000	                                      
I	10	7128	GAL	LBS	M	7.2910000	                                      
I	10	7128	GAL	QTS	M	4.0000000	                                      
I	10	7128	LBS	GAL	D	7.2910000	                                      
I	10	7128	QTS	GAL	D	4.0000000	                                      
I	10	7129	GAL	LBS	M	7.2500000	                                      
I	10	7129	LBS	GAL	D	7.2820000	                                      
I	10	7131	GAL	LBS	M	7.2240000	                                      
I	10	7131	LBS	GAL	D	7.2240000	                                      
I	10	7132	GAL	LBS	M	7.1818000	                                      
I	10	7132	LBS	GAL	D	7.1818000	                                      
I	10	7133	GAL	LBS	M	7.2600000	                                      
I	10	7133	LBS	GAL	D	7.2600000	                                      
I	10	7134	GAL	LBS	M	7.2700000	                                      
I	10	7134	LBS	GAL	D	7.2700000	                                      
I	10	7135	GAL	LBS	M	7.2910000	                                      
I	10	7135	LBS	GAL	D	7.2910000	                                      
I	10	7137	GAL	LBS	M	7.3230000	                                      
I	10	7137	LBS	GAL	D	7.3230000	                                      
I	10	7145	GAL	LBS	M	7.3410000	                                      
I	10	7145	LBS	GAL	D	7.3410000	                                      
I	10	7155	GAL	LBS	M	7.1254000	                                      
I	10	7155	LBS	GAL	D	7.1254000	                                      
I	10	7159	GAL	LBS	M	7.4340000	                                      
I	10	7159	LBS	GAL	D	7.4340000	                                      
I	10	7161	GAL	LBS	M	7.4530000	                                      
I	10	7161	GAL	LI 	M	3.7854000	                                      
I	10	7161	LBS	GAL	D	7.4530000	                                      
I	10	7161	LI 	GAL	D	3.7854000	                                      
I	10	7162	GAL	LBS	M	7.4340000	                                      
I	10	7162	GAL	LI 	M	3.7854000	                                      
I	10	7162	LBS	GAL	D	7.4340000	                                      
I	10	7162	LI 	GAL	D	3.7854000	                                      
I	10	7163	GAL	LBS	M	7.5290000	                                      
I	10	7163	LBS	GAL	D	7.5290000	                                      
I	10	7165	GAL	LBS	M	7.3230000	                                      
I	10	7165	GAL	LI 	M	3.7850000	                                      
I	10	7165	LBS	GAL	D	7.3230000	                                      
I	10	7165	LI 	GAL	D	3.7850000	                                      
I	10	7166	GAL	LBS	M	7.4100000	                                      
I	10	7166	GAL	LI 	M	3.7854000	                                      
I	10	7166	LBS	GAL	D	7.4100000	                                      
I	10	7166	LI 	GAL	D	3.7854000	                                      
I	10	7167	GAL	LBS	M	7.2550000	                                      
I	10	7167	LBS	GAL	D	7.2550000	                                      
I	10	7168	GAL	LBS	M	7.2838000	                                      
I	10	7168	LBS	GAL	D	7.2838000	                                      
I	10	7169	GAL	LBS	M	7.4810000	                                      
I	10	7169	GAL	LI 	M	3.7854000	                                      
I	10	7169	LBS	GAL	D	7.4810000	                                      
I	10	7169	LI 	GAL	D	3.7854000	                                      
I	10	7171	GAL	LBS	M	7.3150000	                                      
I	10	7171	LBS	GAL	D	7.3150000	                                      
I	10	7172	GAL	LBS	M	7.3230000	                                      
I	10	7172	GAL	LI 	M	3.7854000	                                      
I	10	7172	LBS	GAL	D	7.3230000	                                      
I	10	7172	LI 	GAL	D	3.7854000	                                      
I	10	7174	GAL	LBS	M	7.4380000	                                      
I	10	7174	GAL	LI 	M	3.7854000	                                      
I	10	7174	LBS	GAL	D	7.4380000	                                      
I	10	7174	LI 	GAL	D	3.7854000	                                      
I	10	7180	GAL	LBS	M	7.2960000	                                      
I	10	7180	LBS	GAL	D	7.2960000	                                      
I	10	7189	GAL	LBS	M	7.2960000	                                      
I	10	7189	LBS	GAL	D	7.2960000	                                      
I	10	7190	GAL	LBS	M	7.3519000	                                      
 	10	7190	GAL	QTS	M	4.0000000	                                      
I	10	7190	LBS	GAL	D	7.3519000	                                      
 	10	7190	QTS	GAL	D	4.0000000	                                      
I	10	7191	GAL	LBS	M	7.2703000	                                      
I	10	7191	LBS	GAL	D	7.2703000	                                      
I	10	7192	GAL	LBS	M	7.3410000	                                      
I	10	7192	LBS	GAL	D	7.3410000	                                      
I	10	7193	GAL	LBS	M	7.3830000	                                      
 	10	7193	GAL	QTS	M	4.0000000	                                      
I	10	7193	LBS	GAL	D	7.3830000	                                      
 	10	7193	QTS	GAL	D	4.0000000	                                      
I	10	7194	GAL	LBS	M	7.4871000	                                      
 	10	7194	GAL	QTS	M	4.0000000	                                      
I	10	7194	LBS	GAL	D	7.4871000	                                      
 	10	7194	QTS	GAL	D	4.0000000	                                      
I	10	7195	GAL	LBS	M	7.3510000	                                      
I	10	7195	LBS	GAL	D	7.3510000	                                      
I	10	7196	GAL	LBS	M	7.3336000	                                      
I	10	7196	LBS	GAL	D	7.3336000	                                      
I	10	7197	GAL	LBS	M	7.4100000	                                      
I	10	7197	LBS	GAL	D	7.4100000	                                      
I	10	7198	GAL	LBS	M	7.2973000	                                      
I	10	7198	LBS	GAL	D	7.2973000	                                      
I	10	7199	GAL	LBS	M	7.3199000	                                      
I	10	7199	LBS	GAL	D	7.3199000	                                      
I	10	7200	GAL	LBS	M	7.2380000	                                      
I	10	7200	LBS	GAL	D	7.2380000	                                      
I	10	7201	GAL	LBS	M	8.3700000	                                      
I	10	7201	LBS	GAL	D	8.3700000	                                      
I	10	7203	GAL	LBS	M	7.2380000	                                      
I	10	7203	LBS	GAL	D	7.2380000	                                      
I	10	7240	GAL	LBS	M	7.1530000	                                      
I	10	7240	LBS	GAL	D	7.1530000	                                      
I	10	7250	GAL	LBS	M	7.1644000	                                      
I	10	7250	GAL	LI 	M	3.7854000	                                      
I	10	7250	LBS	GAL	D	7.1644000	                                      
I	10	7250	LI 	GAL	D	3.7854000	                                      
I	10	7251	GAL	LBS	M	7.1670000	                                      
I	10	7251	LBS	GAL	D	7.1670000	                                      
I	10	7252	GAL	LBS	M	7.1530000	                                      
I	10	7252	LBS	GAL	D	7.1530000	                                      
I	10	7253	GAL	LBS	M	7.2214000	                                      
I	10	7253	LBS	GAL	D	7.2214000	                                      
I	10	7256	GAL	LBS	M	7.3290000	                                      
I	10	7256	LBS	GAL	D	7.3290000	                                      
I	10	7257	GAL	LBS	M	7.3109000	                                      
I	10	7257	LBS	GAL	D	7.3109000	                                      
I	10	7258	GAL	LBS	M	7.3702000	                                      
I	10	7258	LBS	GAL	D	7.3702000	                                      
I	10	7259	GAL	LBS	M	7.2125000	                                      
I	10	7259	LBS	GAL	D	7.2125000	                                      
I	10	7261	GAL	LBS	M	7.3473000	                                      
I	10	7261	LBS	GAL	D	7.3473000	                                      
I	10	7266	GAL	LBS	M	7.4306000	                                      
I	10	7266	LBS	GAL	D	7.4306000	                                      
I	10	7267	GAL	LBS	M	7.4290000	                                      
I	10	7267	LBS	GAL	D	7.4290000	                                      
I	10	7268	GAL	LBS	M	7.4340000	                                      
I	10	7268	LBS	GAL	D	7.4340000	                                      
I	10	7269	GAL	LBS	M	7.4290000	                                      
I	10	7269	LBS	GAL	D	7.4290000	                                      
I	10	7270	GAL	LBS	M	7.4100000	                                      
I	10	7270	LBS	GAL	D	7.4100000	                                      
I	10	7271	GAL	LBS	M	7.4340000	                                      
I	10	7271	LBS	GAL	D	7.4340000	                                      
I	10	7272	GAL	LBS	M	7.4072000	                                      
I	10	7272	LBS	GAL	D	7.4072000	                                      
I	10	7273	GAL	LBS	M	7.4340000	                                      
I	10	7273	LBS	GAL	D	7.4340000	                                      
I	10	7274	GAL	LBS	M	7.4290000	                                      
I	10	7274	LBS	GAL	D	7.4290000	                                      
I	10	7275	GAL	LBS	M	7.3410000	                                      
I	10	7275	LBS	GAL	D	7.3410000	                                      
I	10	7277	GAL	LBS	M	7.3979000	                                      
I	10	7277	LBS	GAL	D	7.3979000	                                      
I	10	7278	GAL	LBS	M	7.4340000	                                      
I	10	7278	LBS	GAL	D	7.4340000	                                      
I	10	7279	GAL	LBS	M	7.4290000	                                      
I	10	7279	LBS	GAL	D	7.4290000	                                      
I	10	7280	GAL	LBS	M	7.4026000	                                      
I	10	7280	LBS	GAL	D	7.4026000	                                      
I	10	7282	GAL	LBS	M	7.4290000	                                      
I	10	7283	GAL	LBS	M	7.4650000	                                      
I	10	7283	LBS	GAL	D	7.4650000	                                      
I	10	7301	GAL	LBS	M	7.4670000	                                      
I	10	7301	LBS	GAL	D	7.4670000	                                      
I	10	7305	GAL	LBS	M	7.3018000	                                      
I	10	7305	LBS	GAL	D	7.3018000	                                      
I	10	7309	GAL	LBS	M	7.4480000	                                      
I	10	7309	LBS	GAL	D	7.4480000	                                      
I	10	7310	GAL	LBS	M	7.4810000	                                      
I	10	7310	LBS	GAL	D	7.4810000	                                      
I	10	7311	GAL	LBS	M	7.2125000	                                      
I	10	7311	LBS	GAL	D	7.2125000	                                      
I	10	7313	GAL	LBS	M	7.3680000	                                      
I	10	7313	LBS	GAL	D	7.3680000	                                      
I	10	7314	GAL	LBS	M	7.4200000	                                      
I	10	7314	LBS	GAL	D	7.4200000	                                      
I	10	7315	GAL	LBS	M	7.5050000	                                      
I	10	7315	LBS	GAL	D	7.5050000	                                      
I	10	7316	GAL	LBS	M	7.5050000	                                      
I	10	7316	LBS	GAL	D	7.5050000	                                      
I	10	7317	GAL	LBS	M	7.5140000	                                      
I	10	7317	LBS	GAL	D	7.5140000	                                      
I	10	7318	GAL	LBS	M	7.5290000	                                      
I	10	7318	LBS	GAL	D	7.5290000	                                      
I	10	7325	GAL	LBS	M	7.2302000	                                      
I	10	7325	LBS	GAL	D	7.2302000	                                      
I	10	7336	GAL	LBS	M	7.2020000	                                      
I	10	7336	LBS	GAL	D	7.2020000	                                      
I	10	7337	GAL	LBS	M	7.2380000	                                      
I	10	7337	LBS	GAL	D	7.2380000	                                      
I	10	7338	GAL	LBS	M	7.2820000	                                      
I	10	7338	LBS	GAL	D	7.2820000	                                      
I	10	7339	GAL	LBS	M	7.3050000	                                      
I	10	7339	LBS	GAL	D	7.3050000	                                      
I	10	7342	GAL	LBS	M	7.3050000	                                      
I	10	7342	LBS	GAL	D	7.3050000	                                      
I	10	7344	GAL	LBS	M	7.3050000	                                      
I	10	7344	LBS	GAL	D	7.3050000	                                      
I	10	7346	GAL	LBS	M	7.3320000	                                      
I	10	7346	LBS	GAL	D	7.3320000	                                      
I	10	7347	GAL	LBS	M	7.3320000	                                      
I	10	7347	LBS	GAL	D	7.3320000	                                      
I	10	7349	GAL	LBS	M	7.2973000	                                      
I	10	7349	LBS	GAL	D	7.2973000	                                      
I	10	7352	GAL	LBS	M	7.2838000	                                      
I	10	7352	LBS	GAL	D	7.2838000	                                      
I	10	7353	GAL	LBS	M	7.3000000	                                      
I	10	7353	LBS	GAL	D	7.3000000	                                      
I	10	7354	GAL	LBS	M	7.2703000	                                      
I	10	7354	LBS	GAL	D	7.2703000	                                      
I	10	7355	GAL	LBS	M	7.3841000	                                      
I	10	7355	LBS	GAL	D	7.3841000	                                      
I	10	7356	GAL	LBS	M	7.4480000	                                      
I	10	7356	LBS	GAL	D	7.4480000	                                      
I	10	7357	GAL	LBS	M	7.0615000	                                      
I	10	7357	LBS	GAL	D	7.0615000	                                      
I	10	7359	GAL	LBS	M	7.2170000	                                      
