CUDEL	CUCONO	CUPROD	CUCNTR	CUUNMS	CUOPER	CUCVFA	CUHAZM	CUIUM	CUFEGL	CUF001
I	10	7253	640	GAL	M	55.0000000	N	DRM	0	                          
I	10	7253	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7254	009	GAL	M	3.0000000	N	CAS	0	                          
I	10	7254	100	GAL	M	4.0000000	N	CAS	0	                          
I	10	7254	355	GAL	M	3.0000000	N	CAS	0	                          
I	10	7254	432	GAL	M	4.0000000	N	CAS	0	                          
I	10	7254	501	GAL	M	5.0000000	N	PAL	0	                          
 	10	7256	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7256	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7256	021	GAL	M	1.0000000	N	GAL	0	                          
 	10	7256	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7256	502	GAL	M	5.0000000	N	PAL	0	                          
I	10	7256	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7256	603	GAL	M	55.0000000	N	DRM	0	                          
I	10	7256	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7257	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7257	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7257	021	GAL	M	1.0000000	N	GAL	0	                          
I	10	7257	033	GAL	M	3.0000000	N	CAS	0	                          
I	10	7257	052	GAL	M	1.0000000	N	GAL	0	                          
I	10	7257	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7257	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7258	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7258	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7258	021	GAL	M	1.0000000	N	GAL	0	                          
I	10	7258	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7258	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7259	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7259	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7259	281	GAL	M	3.0000000	N	CAS	0	                          
I	10	7259	355	GAL	M	3.0000000	N	CAS	0	                          
I	10	7259	432	GAL	M	4.0000000	N	CAS	0	                          
I	10	7259	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7260	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	7261	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7261	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7261	982	GAL	M	55.0000000	N	DRM	0	                          
 	10	7262	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	7263	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	7263	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7263	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7263	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7264	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	7264	003	GAL	M	330.0000000	N	TOT	0	                          
I	10	7264	601	GAL	M	55.0000000	N	DRM	0	                          
 	10	7265	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	7265	003	GAL	M	330.0000000	N	TOT	0	                          
 	10	7265	022	GAL	M	1.0000000	N	GAL	0	                          
D	10	7265	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7266	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	7266	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7266	626	GAL	M	55.0000000	N	DRM	0	                          
I	10	7267	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7267	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7267	626	GAL	M	55.0000000	N	DRM	0	                          
I	10	7267	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7267	983	GAL	M	55.0000000	N	DRM	0	                          
I	10	7268	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7268	002	GAL	M	1.0000000	N	GAL	0	                          
 	10	7269	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7269	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7269	003	GAL	M	330.0000000	N	TOT	0	                          
I	10	7269	535	GAL	M	5.0000000	N	PAL	0	                          
I	10	7269	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7269	626	GAL	M	55.0000000	N	DRM	0	                          
I	10	7270	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7270	002	GAL	M	1.0000000	N	GAL	0	                          
D	10	7270	004	GAL	M	220.0000000	N	TOT	0	                          
D	10	7270	535	GAL	M	5.0000000	N	PAL	0	                          
D	10	7270	601	GAL	M	55.0000000	N	DRM	0	                          
D	10	7270	982	GAL	M	55.0000000	N	DRM	0	                          
D	10	7270	983	GAL	M	55.0000000	N	DRM	0	                          
I	10	7271	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7271	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7271	003	GAL	M	330.0000000	N	TOT	0	                          
I	10	7271	006	GAL	M	330.0000000	N	x  	0	                          
I	10	7271	501	GAL	M	5.0000000	N	PAL	0	                          
I	10	7271	535	GAL	M	5.0000000	N	PAL	0	                          
I	10	7271	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7271	625	GAL	M	55.0000000	N	DRM	0	                          
I	10	7271	626	GAL	M	55.0000000	N	DRM	0	                          
I	10	7272	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7272	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7272	003	GAL	M	330.0000000	N	TOT	0	                          
I	10	7272	006	GAL	M	330.0000000	N	GAL	0	                          
I	10	7272	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7272	049	GAL	M	260.0000000	N	TOT	0	                          
I	10	7272	050	GAL	M	260.0000000	N	TOT	0	                          
I	10	7272	052	GAL	M	1.0000000	N	GAL	0	                          
I	10	7272	160	GAL	M	1.0000000	N	GAL	0	                          
I	10	7272	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7272	625	GAL	M	55.0000000	N	DRM	0	                          
I	10	7272	626	GAL	M	55.0000000	N	DRM	0	                          
I	10	7272	632	GAL	M	55.0000000	N	DRM	0	                          
I	10	7272	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7273	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	7273	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7273	052	GAL	M	1.0000000	N	GAL	0	                          
I	10	7273	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7274	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	7274	001	LBS	M	1.0000000	N	LBS	0	                          
D	10	7274	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7274	003	GAL	M	330.0000000	N	TOT	0	                          
I	10	7274	006	GAL	M	330.0000000	N	x  	0	                          
I	10	7274	626	GAL	M	55.0000000	N	DRM	0	                          
D	10	7275	626	GAL	M	55.0000000	N	DRM	0	                          
 	10	7277	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7277	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7277	006	GAL	M	330.0000000	N	x  	0	                          
I	10	7277	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7277	626	GAL	M	55.0000000	N	DRM	0	                          
I	10	7278	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7278	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7278	626	GAL	M	55.0000000	N	DRM	0	                          
I	10	7279	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	7280	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	7280	003	GAL	M	330.0000000	N	TOT	0	                          
I	10	7280	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7280	052	GAL	M	1.0000000	N	GAL	0	                          
I	10	7280	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7280	626	GAL	M	55.0000000	N	DRM	0	                          
I	10	7281	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	7281	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7282	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	7282	003	GAL	M	330.0000000	N	TOT	0	                          
I	10	7282	626	GAL	M	55.0000000	N	DRM	0	                          
I	10	7283	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	7283	626	GAL	M	55.0000000	N	DRM	0	                          
 	10	7284	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	7284	049	GAL	M	260.0000000	N	TOT	0	                          
I	10	7284	050	GAL	M	260.0000000	N	TOT	0	                          
I	10	7284	625	GAL	M	55.0000000	N	DRM	0	                          
I	10	7284	632	GAL	M	55.0000000	N	DRM	0	                          
I	10	7285	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7300	052	GAL	M	1.0000000	N	GAL	0	                          
 	10	7300	109	GAL	M	4.0000000	N	CAS	0	                          
I	10	7300	521	GAL	M	5.0000000	N	PAL	0	                          
I	10	7300	624	GAL	M	55.0000000	N	DRM	0	                          
I	10	7301	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7301	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7301	021	GAL	M	1.0000000	N	GAL	0	                          
I	10	7301	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7301	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7302	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7302	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7302	021	GAL	M	1.0000000	N	GAL	0	                          
I	10	7302	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7302	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7303	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7303	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7303	021	GAL	M	1.0000000	N	GAL	0	                          
I	10	7303	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7303	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7304	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7304	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7304	021	GAL	M	1.0000000	N	GAL	0	                          
I	10	7304	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7304	982	GAL	M	55.0000000	N	DRM	0	                          
 	10	7305	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7305	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7305	003	GAL	M	330.0000000	N	TOT	0	                          
I	10	7305	005	GAL	M	260.0000000	N	TOT	0	                          
I	10	7305	021	GAL	M	1.0000000	N	GAL	0	                          
 	10	7305	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7305	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7305	606	GAL	M	55.0000000	N	DRM	0	                          
I	10	7305	615	GAL	M	55.0000000	N	DRM	0	                          
I	10	7305	624	GAL	M	55.0000000	N	DRM	0	                          
I	10	7305	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7308	521	GAL	M	5.0000000	N	PAL	0	                          
I	10	7308	522	GAL	M	5.0000000	N	PAL	0	                          
I	10	7308	624	GAL	M	55.0000000	N	DRM	0	                          
I	10	7308	635	GAL	M	55.0000000	N	DRM	0	                          
D	10	7309	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7309	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7309	983	GAL	M	55.0000000	N	DRM	0	                          
 	10	7310	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7310	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7310	073	GAL	M	1.5850000	N	CAS	0	                          
I	10	7310	612	GAL	M	55.0000000	N	DRM	0	                          
I	10	7310	983	GAL	M	55.0000000	N	DRM	0	                          
I	10	7311	501	GAL	M	5.0000000	N	PAL	0	                          
I	10	7312	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7312	002	GAL	M	1.0000000	N	GAL	0	                          
 	10	7312	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7312	052	GAL	M	1.0000000	N	GAL	0	                          
I	10	7312	448	GAL	M	5.0000000	N	PAL	0	                          
I	10	7312	501	GAL	M	5.0000000	N	PAL	0	                          
I	10	7312	521	GAL	M	5.0000000	N	PAL	0	                          
I	10	7312	624	GAL	M	55.0000000	N	DRM	0	                          
D	10	7313	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7313	982	GAL	M	55.0000000	N	DRM	0	                          
D	10	7314	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7314	982	GAL	M	55.0000000	N	DRM	0	                          
D	10	7315	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7315	982	GAL	M	55.0000000	N	DRM	0	                          
D	10	7316	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7316	982	GAL	M	55.0000000	N	DRM	0	                          
D	10	7317	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7317	982	GAL	M	55.0000000	N	DRM	0	                          
D	10	7318	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7318	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7325	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7325	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7325	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7325	052	GAL	M	1.0000000	N	GAL	0	                          
I	10	7325	068	GAL	M	1.0000000	N	GAL	0	                          
I	10	7325	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7325	624	GAL	M	55.0000000	N	DRM	0	                          
I	10	7325	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7325	991	GAL	M	275.0000000	N	TOT	0	                          
I	10	7325	992	GAL	M	275.0000000	N	TOT	0	                          
I	10	7326	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7327	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7327	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7327	052	GAL	M	1.0000000	N	GAL	0	                          
I	10	7327	521	GAL	M	5.0000000	N	PAL	0	                          
I	10	7327	624	GAL	M	55.0000000	N	DRM	0	                          
 	10	7329	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	7329	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7329	052	GAL	M	1.0000000	N	GAL	0	                          
I	10	7329	521	GAL	M	5.0000000	N	PAL	0	                          
I	10	7329	624	GAL	M	55.0000000	N	DRM	0	                          
I	10	7331	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7331	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7331	021	GAL	M	1.0000000	N	GAL	0	                          
I	10	7331	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7331	509	GAL	M	5.0000000	N	PAL	0	                          
I	10	7331	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7331	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7332	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7332	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7332	021	GAL	M	1.0000000	N	GAL	0	                          
I	10	7332	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7332	052	GAL	M	1.0000000	N	GAL	0	                          
I	10	7332	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7332	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7333	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7333	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7333	021	GAL	M	1.0000000	N	GAL	0	                          
I	10	7333	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7333	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7336	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7336	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7336	004	GAL	M	220.0000000	N	TOT	0	                          
I	10	7336	021	GAL	M	1.0000000	N	GAL	0	                          
I	10	7336	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7336	032	GAL	M	1.0000000	N	GAL	0	                          
I	10	7336	052	GAL	M	1.0000000	N	GAL	0	                          
I	10	7336	068	GAL	M	1.0000000	N	GAL	0	                          
I	10	7336	096	LI 	M	12.0000000	N	CAS	0	                          
I	10	7336	161	GAL	M	1.0000000	N	GAL	0	                          
I	10	7336	163	GAL	M	1.0000000	N	GAL	0	                          
I	10	7336	448	GAL	M	5.0000000	N	PAL	0	                          
I	10	7336	501	GAL	M	5.0000000	N	PAL	0	                          
I	10	7336	501	PAL	M	1.0000000	N	PAL	0	                          
I	10	7336	502	GAL	M	5.0000000	N	PAL	0	                          
I	10	7336	520	GAL	M	5.0000000	N	PAL	0	                          
I	10	7336	521	GAL	M	5.0000000	N	PAL	0	                          
I	10	7336	570	GAL	M	1.0000000	N	GAL	0	                          
I	10	7336	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7336	602	GAL	M	55.0000000	N	DRM	0	                          
I	10	7336	603	GAL	M	55.0000000	N	DRM	0	                          
I	10	7336	614	GAL	M	55.0000000	N	DRM	0	                          
I	10	7336	615	GAL	M	55.0000000	N	DRM	0	                          
I	10	7337	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7337	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7337	004	GAL	M	220.0000000	N	TOT	0	                          
I	10	7337	021	GAL	M	1.0000000	N	GAL	0	                          
I	10	7337	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7337	032	GAL	M	1.0000000	N	GAL	0	                          
I	10	7337	052	GAL	M	1.0000000	N	GAL	0	                          
I	10	7337	068	GAL	M	1.0000000	N	GAL	0	                          
I	10	7337	161	GAL	M	1.0000000	N	GAL	0	                          
I	10	7337	448	GAL	M	5.0000000	N	PAL	0	                          
I	10	7337	501	GAL	M	5.0000000	N	PAL	0	                          
I	10	7337	502	GAL	M	5.0000000	N	PAL	0	                          
I	10	7337	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7337	602	GAL	M	55.0000000	N	DRM	0	                          
I	10	7337	603	GAL	M	55.0000000	N	DRM	0	                          
I	10	7338	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7338	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7338	021	GAL	M	1.0000000	N	GAL	0	                          
I	10	7338	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7338	032	GAL	M	1.0000000	N	GAL	0	                          
I	10	7338	052	GAL	M	1.0000000	N	GAL	0	                          
I	10	7338	068	GAL	M	1.0000000	N	GAL	0	                          
I	10	7338	161	GAL	M	1.0000000	N	GAL	0	                          
I	10	7338	163	GAL	M	1.0000000	N	GAL	0	                          
I	10	7338	448	GAL	M	5.0000000	N	PAL	0	                          
I	10	7338	501	GAL	M	5.0000000	N	PAL	0	                          
I	10	7338	502	GAL	M	5.0000000	N	PAL	0	                          
I	10	7338	521	GAL	M	5.0000000	N	PAL	0	                          
I	10	7338	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7338	603	GAL	M	55.0000000	N	DRM	0	                          
I	10	7339	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7339	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7342	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	7342	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7343	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7343	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7343	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7343	051	GAL	M	300.0000000	N	TOT	0	                          
I	10	7343	052	GAL	M	1.0000000	N	GAL	0	                          
I	10	7343	521	GAL	M	5.0000000	N	PAL	0	                          
I	10	7343	624	GAL	M	55.0000000	N	DRM	0	                          
I	10	7344	601	GAL	M	55.0000000	N	DRM	0	                          
D	10	7346	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7346	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7347	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7347	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7347	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7348	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7348	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7348	021	GAL	M	1.0000000	N	GAL	0	                          
I	10	7348	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7348	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	7349	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7349	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7349	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7349	536	GAL	M	5.0000000	N	PAL	0	                          
I	10	7349	613	GAL	M	55.0000000	N	DRM	0	                          
I	10	7349	642	GAL	M	55.0000000	N	DRM	0	                          
 	10	7351	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7351	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7351	021	GAL	M	1.0000000	N	GAL	0	                          
 	10	7351	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7351	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7351	982	GAL	M	55.0000000	N	DRM	0	                          
 	10	7352	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7352	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7352	009	CAS	M	1.0000000	N	CAS	0	                          
I	10	7352	009	QTS	M	12.0000000	N	CAS	0	                          
I	10	7352	021	GAL	M	1.0000000	N	GAL	0	                          
 	10	7352	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7352	052	GAL	M	1.0000000	N	GAL	0	                          
 	10	7352	068	GAL	M	1.0000000	N	GAL	0	                          
 	10	7352	096	LI 	M	12.0000000	N	CAS	0	                          
I	10	7352	100	GAL	M	4.0000000	N	CAS	0	                          
I	10	7352	109	GAL	M	4.0000000	N	CAS	0	                          
 	10	7352	160	GAL	M	1.0000000	N	GAL	0	                          
 	10	7352	163	GAL	M	1.0000000	N	GAL	0	                          
I	10	7352	432	GAL	M	4.0000000	N	CAS	0	                          
I	10	7352	448	GAL	M	5.0000000	N	PAL	0	                          
I	10	7352	501	ECH	M	1.0000000	N	PAL	0	                          
I	10	7352	501	GAL	M	5.0000000	N	PAL	0	                          
I	10	7352	501	PAL	M	1.0000000	N	PAL	0	                          
I	10	7352	502	GAL	M	5.0000000	N	PAL	0	                          
I	10	7352	520	GAL	M	5.0000000	N	PAL	0	                          
I	10	7352	570	GAL	M	1.0000000	N	GAL	0	                          
I	10	7352	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7352	603	GAL	M	55.0000000	N	DRM	0	                          
I	10	7352	611	GAL	M	55.0000000	N	DRM	0	                          
I	10	7352	613	GAL	M	55.0000000	N	DRM	0	                          
I	10	7352	614	GAL	M	55.0000000	N	DRM	0	                          
I	10	7352	646	GAL	M	55.0000000	N	DRM	0	                          
I	10	7352	982	GAL	M	55.0000000	N	DRM	0	                          
D	10	7353	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7353	982	GAL	M	55.0000000	N	DRM	0	                          
 	10	7354	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7354	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7354	004	GAL	M	220.0000000	N	TOT	0	                          
I	10	7354	005	GAL	M	260.0000000	N	TOT	0	                          
I	10	7354	021	GAL	M	1.0000000	N	GAL	0	                          
 	10	7354	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7354	052	GAL	M	1.0000000	N	GAL	0	                          
I	10	7354	501	GAL	M	5.0000000	N	PAL	0	                          
I	10	7354	502	GAL	M	5.0000000	N	PAL	0	                          
I	10	7354	570	GAL	M	1.0000000	N	GAL	0	                          
I	10	7354	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7354	602	GAL	M	55.0000000	N	DRM	0	                          
I	10	7354	603	GAL	M	55.0000000	N	DRM	0	                          
I	10	7354	982	GAL	M	55.0000000	N	DRM	0	                          
 	10	7355	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7355	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7355	004	GAL	M	220.0000000	N	TOT	0	                          
I	10	7355	005	GAL	M	260.0000000	N	TOT	0	                          
I	10	7355	021	GAL	M	1.0000000	N	GAL	0	                          
 	10	7355	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7355	501	GAL	M	5.0000000	N	PAL	0	                          
I	10	7355	502	GAL	M	5.0000000	N	PAL	0	                          
I	10	7355	570	GAL	M	1.0000000	N	GAL	0	                          
I	10	7355	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7355	602	GAL	M	55.0000000	N	DRM	0	                          
I	10	7355	603	GAL	M	55.0000000	N	DRM	0	                          
I	10	7355	982	GAL	M	55.0000000	N	DRM	0	                          
 	10	7356	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7356	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7356	004	GAL	M	220.0000000	N	TOT	0	                          
I	10	7356	021	GAL	M	1.0000000	N	GAL	0	                          
 	10	7356	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7356	501	GAL	M	5.0000000	N	PAL	0	                          
I	10	7356	502	GAL	M	5.0000000	N	PAL	0	                          
I	10	7356	570	GAL	M	1.0000000	N	GAL	0	                          
I	10	7356	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7356	602	GAL	M	55.0000000	N	DRM	0	                          
I	10	7356	603	GAL	M	55.0000000	N	DRM	0	                          
I	10	7356	982	GAL	M	55.0000000	N	DRM	0	                          
 	10	7357	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	7357	021	GAL	M	1.0000000	N	GAL	0	                          
 	10	7357	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	7357	101	GAL	M	4.0000000	N	CAS	0	                          
 	10	7357	210	GAL	M	3.0000000	N	CAS	0	                          
 	10	7357	211	GAL	M	3.0000000	N	CAS	0	                          
I	10	7357	501	GAL	M	5.0000000	N	PAL	0	                          
I	10	7357	502	GAL	M	5.0000000	N	PAL	0	                          
I	10	7357	521	GAL	M	5.0000000	N	PAL	0	                          
I	10	7357	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7357	603	GAL	M	55.0000000	N	DRM	0	                          
I	10	7357	615	GAL	M	55.0000000	N	DRM	0	                          
I	10	7357	624	GAL	M	55.0000000	N	DRM	0	                          
I	10	7358	982	GAL	M	55.0000000	N	DRM	0	                          
D	10	7359	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7359	023	GAL	M	3.0000000	N	CAS	0	                          
I	10	7359	101	GAL	M	4.0000000	N	CAS	0	                          
I	10	7359	357	GAL	M	3.0000000	N	CAS	0	                          
I	10	7359	501	GAL	M	5.0000000	N	PAL	0	                          
 	10	7360	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	7360	106	GAL	M	4.0000000	N	CAS	0	                          
I	10	7360	107	GAL	M	1.0000000	N	CAS	0	                          
I	10	7360	125	GAL	M	6.0000000	N	CAS	0	                          
 	10	7360	160	GAL	M	1.0000000	N	GAL	0	                          
 	10	7360	260	GAL	M	1.5000000	N	CAS	0	                          
 	10	7360	265	GAL	M	0.7500000	N	CAS	0	                          
 	10	7360	282	GAL	M	3.0000000	N	CAS	0	                          
 	10	7360	507	GAL	M	5.0000000	N	PAL	0	                          
 	10	7360	607	GAL	M	55.0000000	N	DRM	0	                          
I	10	7362	001	GAL	M	1.0000000	N	GAL	0	                          
D	10	7362	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	7362	051	GAL	M	300.0000000	N	TOT	0	                          
I	10	7362	052	GAL	M	1.0000000	N	GAL	0	                          
I	10	7362	501	GAL	M	5.0000000	N	PAL	0	                          
I	10	7362	521	GAL	M	5.0000000	N	PAL	0	                          
I	10	7362	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	7362	624	GAL	M	55.0000000	N	DRM	0	                          
