CUDEL	CUCONO	CUPROD	CUCNTR	CUUNMS	CUOPER	CUCVFA	CUHAZM	CUIUM	CUFEGL	CUF001
D	10	4306	002	GAL	M	1.0000000	N	GAL	0	                          
I	10	4306	003	GAL	M	330.0000000	N	TOT	0	                          
I	10	4306	501	GAL	M	5.0000000	N	PAL	0	                          
I	10	4306	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	4307	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4309	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4309	646	GAL	M	52.0000000	N	DRM	0	                          
 	10	4310	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4310	003	GAL	M	330.0000000	N	TOT	0	                          
 	10	4311	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4311	001	LBS	M	1.0000000	N	LBS	0	                          
I	10	4311	003	GAL	M	330.0000000	N	TOT	0	                          
I	10	4311	049	GAL	M	260.0000000	N	TOT	0	                          
I	10	4311	051	GAL	M	300.0000000	N	TOT	0	                          
I	10	4311	052	GAL	M	1.0000000	N	GAL	0	                          
D	10	4311	624	GAL	M	55.0000000	N	DRM	0	                          
 	10	4311	646	GAL	M	55.0000000	N	DRM	0	                          
 	10	4311	646	LBS	M	389.0000000	N	DRM	0	                          
 	10	4312	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4312	001	LBS	M	1.0000000	N	LBS	0	                          
 	10	4312	646	GAL	M	55.0000000	N	DRM	0	                          
 	10	4313	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4313	001	LBS	M	1.0000000	N	LBS	0	                          
I	10	4313	501	GAL	M	5.0000000	N	PAL	0	                          
 	10	4313	608	GAL	M	5.0000000	N	PAL	0	                          
 	10	4313	646	GAL	M	55.0000000	N	DRM	0	                          
 	10	4313	646	LBS	M	418.0000000	N	DRM	0	                          
 	10	4315	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4315	646	GAL	M	52.0000000	N	DRM	0	                          
 	10	4317	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4317	001	LBS	M	1.0000000	N	LBS	0	                          
 	10	4318	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4318	001	LBS	M	1.0000000	N	LBS	0	                          
I	10	4318	003	GAL	M	330.0000000	N	TOT	0	                          
I	10	4318	004	GAL	M	220.0000000	N	TOT	0	                          
