WTDEL	WTCONO	WTPROD	WTCNTR	WTGROS	WTTARE	WTNET	WTGAL	WTF001
I	10	4225	646	442.00	37.00	405.00	55.0000000	                        
I	10	4228	646	414.00	37.00	377.00	55.0000000	                        
I	10	4315	601	434.00	37.00	397.00	55.0000000	                        
 	10	4309	646	421.28	37.00	384.28	52.0000000	                        
 	10	4391	646	431.00	37.00	394.00	55.0000000	                        
 	10	4538	646	458.00	37.00	421.00	55.0000000	                        
I	10	7120	009	24.50	2.50	22.00	3.0000000	                        
I	10	7126	009	23.68	2.50	21.18	3.0000000	                        
I	10	7140	009	24.76	2.50	22.26	3.0000000	                        
I	10	7150	009	24.34	2.50	21.84	3.0000000	                        
I	10	7157	009	24.50	2.50	22.00	3.0000000	                        
I	10	7064	982	435.86	35.00	400.86	55.0000000	                        
I	10	7272	982	442.00	35.00	407.00	55.0000000	                        
I	10	7318	982	442.00	35.00	407.00	55.0000000	                        
I	10	7380	982	442.00	35.00	407.00	55.0000000	                        
I	10	7381	982	442.00	35.00	407.00	55.0000000	                        
I	10	7859	982	436.10	35.00	401.10	55.0000000	                        
I	10	7861	982	436.10	35.00	401.10	55.0000000	                        
I	10	7862	982	436.10	35.00	401.10	55.0000000	                        
I	10	7064	354	24.40	2.50	21.90	3.0000000	                        
I	10	4309	601	443.00	37.00	406.00	55.0000000	                        
 	10	4311	601	426.00	37.00	389.00	55.0000000	                        
 	10	4315	646	412.97	37.00	375.97	52.0000000	                        
 	10	4391	601	431.00	37.00	394.00	55.0000000	                        
 	10	7064	097	24.36	2.50	21.86	3.0000000	                        
 	10	7077	646	442.00	35.00	407.00	55.0000000	                        
I	10	7117	100	32.00	2.80	29.20	4.0000000	                        
I	10	7128	030	24.40	2.50	21.90	3.0000000	                        
 	10	7176	624	442.00	35.00	407.00	55.0000000	                        
I	10	7204	624	442.00	35.00	407.00	55.0000000	                        
I	10	7327	624	442.00	35.00	407.00	55.0000000	                        
 	10	7384	624	437.35	35.00	402.35	55.0000000	                        
 	10	7393	624	435.91	35.00	400.91	55.0000000	                        
I	10	7500	624	432.66	35.00	397.66	55.0000000	                        
 	10	7708	624	445.75	35.00	410.75	55.0000000	                        
 	10	7710	624	436.85	35.00	401.85	55.0000000	                        
I	10	7422	024	24.50	2.50	22.00	3.0000000	                        
I	10	7500	024	24.29	2.50	21.79	3.0000000	                        
I	10	7177	432	32.00	2.90	29.10	4.0000000	                        
I	10	7813	551	37.50	2.50	35.00	4.3700000	                        
 	10	7815	551	37.50	2.50	35.00	4.3700000	                        
 	10	7817	551	37.50	2.50	35.00	4.4900000	                        
 	10	7786	673	435.00	35.00	400.00	54.4100000	                        
 	10	7799	676	435.00	35.00	400.00	55.0000000	                        
I	10	7813	701	131.50	11.50	120.00	14.9800000	                        
 	10	7815	701	131.50	11.50	120.00	14.9800000	                        
 	10	7817	701	131.50	11.50	120.00	15.3800000	                        
I	10	7834	701	131.50	11.50	120.00	14.5000000	                        
I	10	7813	782	37.50	2.50	35.00	4.3700000	                        
 	10	7817	782	37.50	2.50	35.00	4.4900000	                        
 	10	7815	873	131.50	11.50	120.00	14.9800000	                        
 	10	7817	873	131.50	11.50	120.00	15.3800000	                        
I	10	7196	004	1738.39	125.00	1613.39	220.0000000	                        
 	10	7731	670	435.00	35.00	400.00	54.1700000	                        
 	10	7785	670	442.00	42.00	400.00	55.0000000	                        
I	10	7791	670	437.00	42.00	395.00	55.0000000	                        
I	10	7792	670	435.00	35.00	400.00	53.7300000	                        
I	10	7791	680	437.00	42.00	395.00	55.0000000	                        
I	10	7792	680	435.00	35.00	400.00	53.7300000	                        
I	10	7793	680	442.00	42.00	400.00	55.0000000	                        
 	10	7796	680	435.00	35.00	400.00	54.0000000	                        
I	10	7790	690	442.00	42.00	400.00	55.0000000	                        
I	10	7272	003	2590.38	146.00	2444.38	330.0000000	                        
I	10	7280	003	2394.00	146.00	2248.00	330.0000000	                        
 	10	7305	003	2555.60	146.00	2409.60	330.0000000	                        
I	10	4772	650	2483.00	140.00	2343.00	330.0000000	                        
I	10	4310	003	2394.00	146.00	2248.00	330.0000000	                        
I	10	4318	003	2613.61	146.00	2467.61	330.0000000	                        
I	10	7359	601	442.00	35.00	407.00	55.0000000	                        
I	10	7144	601	442.00	35.00	407.00	55.0000000	                        
I	10	7158	601	442.00	35.00	407.00	55.0000000	                        
I	10	7144	009	24.50	2.50	22.00	3.0000000	                        
I	10	7158	009	24.50	2.50	22.00	3.0000000	                        
 	10	4131	646	442.00	35.00	407.00	52.0000000	                        
I	10	4775	645	428.00	37.00	391.00	55.0000000	                        
I	10	4776	645	420.00	37.00	383.00	55.0000000	                        
I	10	4777	645	406.50	37.00	369.50	52.0000000	                        
 	10	7865	678	442.00	35.00	407.00	55.0000000	                        
 	10	7866	678	442.00	35.00	407.00	55.0000000	                        
I	10	4773	650	2446.00	146.00	2300.00	323.0000000	                        
I	10	4777	650	2493.00	155.00	2338.00	330.0000000	                        
I	10	4775	650	2446.00	146.00	2300.00	330.0000000	                        
I	10	4776	650	2483.00	140.00	2343.00	330.0000000	                        
 	10	4774	650	2493.00	155.00	2338.00	330.0000000	                        
 	10	5000	797	2797.33	146.00	2651.33	313.0000000	                        
I	10	7305	001	7.26	0.00	7.26	0.0000000	                        
 	10	4304	646	416.93	37.00	379.93	52.0000000	                        
 	10	7360	265	6.25	1.00	5.25	0.7500000	                        
I	10	112V	306	1.00	0.20	0.80	0.0000000	                        
I	10	107V	525	40.00	2.50	37.50	0.0000000	                        
I	10	108V	042	24.50	0.00	24.50	0.0000000	                        
I	10	120V	120	32.00	2.00	30.00	0.0000000	                        
I	10	113V	120	32.00	2.50	29.50	0.0000000	                        
 	10	6018	041	24.00	2.00	22.00	0.0000000	                        
I	10	7531	042	23.50	1.50	22.00	3.0000000	                        
I	10	7530	319	245.00	0.00	245.00	0.0000000	                        
I	10	115V	510	41.00	2.50	38.50	0.0000000	                        
 	10	6022	510	40.00	3.00	37.00	0.0000000	                        
I	10	134V	306	41.00	3.00	38.00	0.0000000	                        
I	10	133V	300	40.00	3.00	37.00	0.0000000	                        
I	10	140V	596	50.00	0.00	50.00	0.0000000	                        
I	10	139V	596	50.00	0.00	50.00	0.0000000	                        
I	10	121V	041	24.00	0.00	24.00	0.0000000	                        
I	10	131V	510	40.00	3.00	37.00	0.0000000	                        
I	10	6847	316	250.00	30.00	220.00	0.0000000	                        
I	10	7535	712	133.00	13.00	120.00	0.0000000	                        
I	10	6877	034	24.50	2.00	22.50	0.0000000	                        
I	10	113V	621	446.00	38.00	408.00	0.0000000	                        
I	10	113V	510	40.00	3.00	37.00	0.0000000	                        
I	10	6893	302	40.00	3.00	37.00	5.0000000	                        
I	10	117V	596	35.00	1.00	34.00	4.3800000	                        
I	10	112V	320	245.00	0.00	245.00	0.0000000	                        
I	10	7504	510	38.92	2.50	36.42	5.0000000	                        
I	10	103V	594	46.00	2.25	43.75	0.0000000	                        
I	10	100V	525	41.00	3.00	38.00	0.0000000	                        
I	10	7531	712	133.00	13.00	120.00	0.0000000	                        
I	10	7531	115	32.26	2.50	29.76	4.0000000	                        
I	10	112V	042	24.50	2.00	22.50	0.0000000	                        
I	10	113V	041	24.00	2.00	22.00	0.0000000	                        
I	10	107V	631	445.00	38.00	407.00	0.0000000	                        
I	10	7530	629	445.00	38.00	407.00	0.0000000	                        
I	10	117V	546	38.00	3.00	35.00	0.0000000	                        
I	10	122V	283	14.00	2.00	12.00	0.0000000	                        
I	10	6877	514	40.00	3.00	37.00	0.0000000	                        
I	10	7535	042	24.50	2.00	22.50	0.0000000	                        
I	10	6883	118	32.00	2.50	29.50	0.0000000	                        
I	10	115V	621	447.00	45.00	402.00	0.0000000	                        
I	10	133V	314	250.00	30.00	220.00	0.0000000	                        
I	10	144V	042	24.00	2.00	22.00	0.0000000	                        
I	10	136V	510	40.00	3.20	36.80	0.0000000	                        
I	10	6893	033	24.00	2.00	22.00	3.0000000	                        
I	10	119V	596	50.00	0.00	50.00	0.0000000	                        
I	10	7505	115	30.85	2.00	28.85	4.0000000	                        
I	10	114V	510	40.00	3.00	37.00	0.0000000	                        
 	10	6022	621	445.00	38.00	407.00	0.0000000	                        
I	10	138V	594	46.00	2.25	43.75	0.0000000	                        
I	10	106V	594	46.00	2.25	43.75	0.0000000	                        
I	10	6877	654	445.00	38.00	407.00	0.0000000	                        
I	10	7504	629	440.00	38.00	402.00	0.0000000	                        
I	10	7531	713	133.00	13.00	120.00	0.0000000	                        
I	10	135V	510	40.00	3.00	37.00	0.0000000	                        
 	10	6862	033	24.00	2.00	22.00	3.0000000	                        
I	10	6877	318	243.00	0.00	243.00	0.0000000	                        
I	10	7531	517	40.20	3.00	37.20	5.0000000	                        
I	10	116V	707	137.00	17.00	120.00	0.0000000	                        
I	10	7507	325	238.51	20.00	218.51	30.0000000	                        
I	10	6883	619	441.00	38.00	403.00	0.0000000	                        
I	10	6893	046	2510.00	104.00	2406.00	330.0000000	                        
I	10	6883	529	40.00	2.50	37.50	5.0000000	                        
I	10	6883	308	41.00	3.00	38.00	0.0000000	                        
I	10	6877	119	32.00	2.50	29.50	0.0000000	                        
I	10	6883	303	40.00	3.00	37.00	0.0000000	                        
I	10	6893	131	32.00	2.50	29.50	4.0000000	                        
I	10	6877	304	40.00	3.00	37.00	0.0000000	                        
I	10	6883	033	24.00	2.00	22.00	0.0000000	                        
I	10	110V	041	24.00	2.00	22.00	0.0000000	                        
I	10	110V	661	438.00	38.00	400.00	0.0000000	                        
I	10	7535	698	133.00	13.00	120.00	16.0000000	                        
 	10	6862	664	438.00	38.00	400.00	55.0000000	                        
I	10	7504	526	38.92	2.50	36.42	5.0000000	                        
I	10	7531	617	444.20	35.00	409.20	55.0000000	                        
I	10	6877	033	24.00	2.00	22.00	0.0000000	                        
I	10	111V	306	41.00	3.00	38.00	0.0000000	                        
I	10	109V	041	25.50	1.50	24.00	3.0000000	                        
I	10	105V	594	46.00	2.25	43.75	0.0000000	                        
I	10	111V	042	26.50	2.50	24.00	3.0000000	                        
I	10	137V	510	40.00	3.00	37.00	0.0000000	                        
I	10	7504	525	38.92	2.50	36.42	5.0000000	                        
I	10	132V	041	24.00	2.00	22.00	0.0000000	                        
I	10	101V	283	14.00	2.00	12.00	0.0000000	                        
I	10	7507	120	31.14	2.00	29.14	4.0000000	                        
I	10	7535	631	449.15	35.00	414.15	55.0000000	                        
I	10	102V	283	14.00	2.00	12.00	0.0000000	                        
I	10	6893	515	40.00	3.00	37.00	5.0000000	                        
I	10	130V	510	40.00	3.00	37.00	0.0000000	                        
I	10	118V	707	137.00	17.00	120.00	0.0000000	                        
I	10	104V	594	24.00	2.00	22.00	0.0000000	                        
I	10	142V	510	40.00	3.00	37.00	0.0000000	                        
I	10	127V	268	30.00	4.00	26.00	4.0000000	                        
I	10	128V	283	8.00	2.00	6.00	0.0000000	                        
I	10	143V	283	12.00	0.00	12.00	0.0000000	                        
I	10	146V	525	40.00	3.00	37.00	0.0000000	                        
I	10	7504	657	435.61	35.00	400.61	55.0000000	                        
I	10	7507	657	435.61	35.00	400.61	55.0000000	                        
I	10	129V	283	8.00	2.00	6.00	0.0000000	                        
I	10	147V	525	40.00	3.00	37.00	0.0000000	                        
I	10	124V	306	42.00	4.00	38.00	0.0000000	                        
I	10	117V	621	445.00	45.00	400.00	55.0000000	                        
 	10	7064	033	24.36	2.50	21.86	3.0000000	                        
I	10	149V	525	40.00	2.50	37.50	0.0000000	                        
I	10	149V	041	24.00	2.00	22.00	0.0000000	                        
I	10	111V	320	245.00	0.00	245.00	0.0000000	                        
I	10	7536	635	442.00	35.00	407.00	55.0000000	                        
I	10	7383	004	1700.00	0.00	1700.00	0.0000000	                        
 	10	7139	009	24.69	2.50	22.19	3.0000000	                        
I	10	7196	009	24.50	2.50	22.00	3.0000000	                        
I	10	7921	009	23.58	1.50	22.08	3.0000000	                        
I	10	7766	023	24.50	2.50	22.00	3.0000000	                        
 	10	7526	096	24.48	2.00	22.48	3.1700000	                        
I	10	7500	097	23.19	1.80	21.39	3.0000000	                        
 	10	7824	097	24.50	2.50	22.00	3.0000000	                        
 	10	7177	100	32.33	3.00	29.33	4.0000000	                        
I	10	7183	100	32.00	0.00	32.00	0.0000000	                        
I	10	7185	100	32.00	0.00	32.00	0.0000000	                        
I	10	7196	100	32.33	3.00	29.33	4.0000000	                        
I	10	7198	100	31.52	2.50	29.02	4.0000000	                        
 	10	7365	100	32.34	2.90	29.44	4.0000000	                        
I	10	7730	100	31.65	2.00	29.65	4.0000000	                        
I	10	7920	100	32.00	0.00	32.00	0.0000000	                        
I	10	7921	100	32.00	0.00	32.00	0.0000000	                        
I	10	7176	109	32.00	0.00	32.00	0.0000000	                        
 	10	7253	140	31.39	2.50	28.89	4.0000000	                        
I	10	7353	141	32.24	3.00	29.24	4.0000000	                        
I	10	7536	150	33.00	0.00	33.00	0.0000000	                        
 	10	7382	202	47.95	4.00	43.95	6.0000000	                        
 	10	7357	210	22.68	1.50	21.18	3.0000000	                        
 	10	7357	211	22.68	1.50	21.18	3.0000000	                        
 	10	7931	220	13.26	2.50	10.76	1.5000000	                        
 	10	7253	276	12.83	2.00	10.83	1.5000000	                        
I	10	7253	277	13.00	0.00	13.00	0.0000000	                        
 	10	7253	278	12.83	2.00	10.83	1.5000000	                        
I	10	7248	279	13.00	1.50	11.50	1.5000000	                        
I	10	7424	353	24.50	0.00	24.50	0.0000000	                        
I	10	7177	448	41.50	0.00	41.50	0.0000000	                        
 	10	7312	448	38.05	3.00	35.05	5.0000000	                        
 	10	7180	501	41.50	3.00	38.50	5.0000000	                        
I	10	7312	501	41.50	2.50	39.00	5.0000000	                        
I	10	7362	501	38.30	2.50	35.80	5.0000000	                        
 	10	7380	509	38.83	2.50	36.33	5.0000000	                        
I	10	7382	509	39.12	2.50	36.62	5.0000000	                        
I	10	7384	509	39.08	2.50	36.58	5.0000000	                        
I	10	7190	520	41.50	0.00	41.50	0.0000000	                        
I	10	7391	520	41.50	0.00	41.50	0.0000000	                        
 	10	7919	520	38.94	2.50	36.44	5.0000000	                        
I	10	7327	521	41.50	2.50	39.00	5.0000000	                        
 	10	7706	521	38.37	2.50	35.87	5.0000000	                        
I	10	7308	522	38.92	2.50	36.42	5.0000000	                        
 	10	7378	522	39.40	3.00	36.40	5.0000000	                        
 	10	7379	522	39.44	3.00	36.44	5.0000000	                        
 	10	7382	535	39.62	3.00	36.62	5.0000000	                        
I	10	7349	536	38.99	2.50	36.49	5.0000000	                        
 	10	7735	540	38.00	3.00	35.00	4.6900000	                        
I	10	7792	551	37.50	2.50	35.00	4.7000000	                        
I	10	7729	557	23.74	1.50	22.24	3.0000000	                        
 	10	7731	558	37.50	2.50	35.00	4.7400000	                        
I	10	7399	562	44.30	0.00	44.30	0.0000000	                        
 	10	7583	562	44.30	0.00	44.30	0.0000000	                        
 	10	7584	562	44.30	0.00	44.30	0.0000000	                        
 	10	7585	562	44.30	0.00	44.30	0.0000000	                        
 	10	7586	562	44.30	0.00	44.30	0.0000000	                        
I	10	7140	601	445.16	37.00	408.16	55.0000000	                        
 	10	7143	601	429.52	35.00	394.52	55.0000000	                        
 	10	7181	601	442.00	35.00	407.00	55.0000000	                        
I	10	7185	601	442.00	0.00	442.00	0.0000000	                        
I	10	7266	601	443.68	35.00	408.68	55.0000000	                        
I	10	7285	601	442.00	35.00	407.00	55.0000000	                        
I	10	7286	601	444.00	35.00	409.00	55.0000000	                        
I	10	7356	601	445.23	35.00	410.23	55.0000000	                        
I	10	7369	601	443.00	35.00	408.00	55.0000000	                        
 	10	7180	602	442.00	35.00	407.00	55.0000000	                        
I	10	7380	602	442.00	0.00	442.00	0.0000000	                        
I	10	7381	602	442.00	0.00	442.00	0.0000000	                        
I	10	7363	610	442.00	0.00	442.00	0.0000000	                        
I	10	7364	610	442.00	0.00	442.00	0.0000000	                        
I	10	7199	611	442.00	0.00	442.00	0.0000000	                        
I	10	7190	614	442.00	0.00	442.00	0.0000000	                        
 	10	7197	615	442.00	35.00	407.00	55.0000000	                        
 	10	7366	615	434.13	35.00	399.13	55.0000000	                        
 	10	7367	615	442.40	35.00	407.40	55.0000000	                        
 	10	7380	615	434.62	35.00	399.62	55.0000000	                        
 	10	7381	615	432.42	35.00	397.42	55.0000000	                        
 	10	7382	615	437.85	35.00	402.85	55.0000000	                        
I	10	4111	624	390.22	35.00	355.22	55.0000000	                        
 	10	7374	624	434.38	35.00	399.38	55.0000000	                        
I	10	7536	642	442.00	0.00	442.00	0.0000000	                        
 	10	7716	624	442.00	35.00	407.00	55.0000000	                        
I	10	7856	626	550.00	0.00	550.00	0.0000000	                        
 	10	7857	626	415.20	35.00	380.20	55.0000000	                        
 	10	7858	626	442.00	0.00	442.00	0.0000000	                        
 	10	7859	626	455.33	35.00	420.33	55.0000000	                        
 	10	7860	626	441.38	35.00	406.38	55.0000000	                        
I	10	7861	626	456.42	35.00	421.42	55.0000000	                        
 	10	7862	626	40.59	35.00	5.59	55.0000000	                        
 	10	7863	626	436.65	35.00	401.65	55.0000000	                        
 	10	7190	627	439.35	35.00	404.35	55.0000000	                        
I	10	7349	642	442.00	0.00	442.00	0.0000000	                        
 	10	4118	646	407.00	37.00	370.00	55.0000000	                        
 	10	4223	646	442.00	0.00	442.00	0.0000000	                        
I	10	7813	678	435.00	35.00	400.00	49.9000000	                        
 	10	7815	678	435.00	35.00	400.00	49.9000000	                        
 	10	7817	678	435.00	35.00	400.00	51.2600000	                        
 	10	7819	678	435.00	35.00	400.00	53.6000000	                        
 	10	7731	699	131.50	11.50	120.00	16.2500000	                        
I	10	7730	709	131.50	11.50	120.00	16.1900000	                        
 	10	7815	782	37.50	2.50	35.00	4.3700000	                        
I	10	6975	873	131.50	0.00	131.50	0.0000000	                        
I	10	7719	873	131.50	11.50	120.00	16.0000000	                        
I	10	7813	873	131.50	11.50	120.00	14.9800000	                        
I	10	7896	875	131.50	0.00	131.50	0.0000000	                        
I	10	7813	981	435.00	35.00	400.00	49.9000000	                        
 	10	7815	981	435.00	35.00	400.00	49.9000000	                        
 	10	7817	981	435.00	35.00	400.00	51.2600000	                        
I	10	7882	981	437.00	35.00	402.00	49.9000000	                        
I	10	4135	982	387.71	35.00	352.71	55.0000000	                        
I	10	7177	982	442.00	0.00	442.00	0.0000000	                        
I	10	7382	982	442.00	0.00	442.00	0.0000000	                        
 	10	7858	982	436.10	0.00	436.10	0.0000000	                        
I	10	7860	982	436.10	0.00	436.10	0.0000000	                        
I	10	7863	982	436.10	0.00	436.10	0.0000000	                        
 	10	7253	141	31.59	2.50	29.09	4.0000000	                        
 	10	7919	009	23.36	1.50	21.86	3.0000000	                        
 	10	7536	624	442.00	35.00	407.00	55.0000000	                        
 	10	4311	003	2394.00	146.00	2248.00	330.0000000	                        
I	10	7196	003	2566.08	146.00	2420.08	330.0000000	                        
I	10	7264	003	2588.86	146.00	2442.86	330.0000000	                        
 	10	7365	003	2575.13	146.00	2429.13	330.0000000	                        
 	10	7367	003	2590.38	146.00	2444.38	330.0000000	                        
 	10	7730	004	1782.78	146.00	1636.78	220.0000000	                        
I	10	7196	005	2031.75	125.00	1906.75	260.0000000	                        
 	10	7305	005	2044.45	146.00	1898.45	260.0000000	                        
 	10	7367	005	2071.87	146.00	1925.87	260.0000000	                        
I	10	8098	033	24.50	2.50	22.00	3.0000000	                        
I	10	6893	034	24.36	2.50	21.86	3.0000000	                        
 	10	7064	034	24.36	2.50	21.86	3.0000000	                        
I	10	8098	034	24.61	2.50	22.11	3.0000000	                        
 	10	4392	040	39.00	3.00	36.00	5.0400000	                        
I	10	6893	045	2510.00	104.00	2406.00	330.0000000	                        
I	10	7506	045	2561.57	146.00	2415.57	330.0000000	                        
I	10	7507	046	2550.00	146.00	2404.00	330.0000000	                        
I	10	8098	046	1700.00	0.00	1700.00	330.0000000	                        
 	10	4311	049	1700.00	0.00	1700.00	260.0000000	                        
I	10	7272	049	2060.87	135.00	1925.87	260.0000000	                        
 	10	7194	051	2390.72	146.00	2244.72	300.0000000	                        
 	10	7193	051	2400.00	0.00	2400.00	300.0000000	                        
 	10	6301	054	24.50	2.50	22.00	3.0000000	                        
 	10	6301	055	24.50	2.50	22.00	3.0000000	                        
I	10	6308	059	13.50	1.50	12.00	1.5000000	                        
I	10	6302	060	12.00	0.00	12.00	1.5000000	                        
I	10	6303	061	12.00	0.00	12.00	1.5000000	                        
I	10	6304	062	12.00	0.00	12.00	1.5000000	                        
I	10	6306	063	12.00	0.00	12.00	1.5000000	                        
I	10	7178	064	12.00	0.00	12.00	1.5000000	                        
I	10	7400	067	9.00	0.00	9.00	1.1300000	                        
I	10	6311	074	12.00	0.00	12.00	1.5000000	                        
I	10	6303	075	12.00	0.00	12.00	1.5000000	                        
I	10	6312	077	12.00	0.00	12.00	1.5000000	                        
I	10	6303	112	24.00	0.00	24.00	3.0000000	                        
I	10	7535	115	32.12	2.00	30.12	4.0000000	                        
I	10	7506	116	31.78	2.50	29.28	4.0000000	                        
I	10	6893	117	32.00	2.50	29.50	4.0000000	                        
I	10	8098	118	32.00	0.00	32.00	4.0000000	                        
I	10	7212	119	32.00	0.00	32.00	4.0000000	                        
 	10	7360	125	44.97	3.00	41.97	6.0000000	                        
I	10	8098	130	32.00	0.00	32.00	4.0000000	                        
I	10	7506	132	31.78	2.50	29.28	4.0000000	                        
I	10	7507	133	31.14	2.00	29.14	4.0000000	                        
I	10	7506	301	39.60	3.00	36.60	5.0000000	                        
I	10	8098	303	40.00	0.00	40.00	5.0000000	                        
I	10	7212	304	40.00	0.00	40.00	5.0000000	                        
 	10	7312	307	38.05	3.00	35.05	5.0000000	                        
I	10	8098	308	39.35	2.50	36.85	5.0000000	                        
I	10	6893	309	40.00	3.00	37.00	5.0000000	                        
I	10	7506	310	39.60	3.00	36.60	5.0000000	                        
I	10	7507	311	39.42	3.00	36.42	5.0000000	                        
I	10	7531	312	40.20	3.00	37.20	5.0000000	                        
I	10	7535	312	40.65	3.00	37.65	5.0000000	                        
I	10	7506	315	139.50	20.00	119.50	30.0000000	                        
I	10	8098	317	236.11	15.00	221.11	30.0000000	                        
I	10	7212	318	240.00	0.00	240.00	30.0000000	                        
I	10	8098	322	240.00	0.00	240.00	30.0000000	                        
I	10	6893	323	243.38	25.00	218.38	30.0000000	                        
I	10	7506	324	139.50	20.00	119.50	30.0000000	                        
I	10	6302	327	240.00	0.00	240.00	30.0000000	                        
I	10	6303	327	240.00	0.00	240.00	30.0000000	                        
I	10	6304	327	240.00	0.00	240.00	30.0000000	                        
I	10	6308	327	265.00	25.00	240.00	30.0000000	                        
I	10	6311	327	240.00	0.00	240.00	30.0000000	                        
I	10	6312	327	240.00	0.00	240.00	30.0000000	                        
I	10	4306	501	38.34	2.50	35.84	5.0000000	                        
 	10	7505	512	39.06	3.00	36.06	5.0000000	                        
I	10	7506	513	39.60	3.00	36.60	5.0000000	                        
I	10	7212	514	41.50	0.00	41.50	5.0000000	                        
I	10	8098	516	41.50	0.00	41.50	5.0000000	                        
I	10	7535	518	40.65	3.00	37.65	5.0000000	                        
I	10	7204	521	41.50	0.00	41.50	5.0000000	                        
 	10	7393	521	39.42	3.00	36.42	5.0000000	                        
I	10	7507	523	39.42	3.00	36.42	5.0000000	                        
I	10	7507	527	39.42	3.00	36.42	5.0000000	                        
I	10	6893	528	39.44	3.00	36.44	5.0000000	                        
I	10	8098	529	40.35	3.50	36.85	5.0000000	                        
I	10	7212	530	41.50	0.00	41.50	5.0000000	                        
I	10	7506	531	41.50	0.00	41.50	5.0000000	                        
I	10	7834	550	37.50	2.50	35.00	4.2300000	                        
I	10	7835	550	37.50	2.50	35.00	4.4600000	                        
I	10	7836	550	37.50	2.50	35.00	4.4800000	                        
I	10	7782	551	37.50	0.00	37.50	5.0000000	                        
I	10	7506	616	438.10	35.00	403.10	55.0000000	                        
I	10	6893	618	442.00	35.00	407.00	55.0000000	                        
I	10	8098	619	442.00	0.00	442.00	55.0000000	                        
I	10	7212	620	442.00	0.00	442.00	55.0000000	                        
 	10	6301	622	442.00	0.00	442.00	55.0000000	                        
I	10	6302	622	442.00	0.00	442.00	55.0000000	                        
I	10	6303	622	442.00	0.00	442.00	55.0000000	                        
I	10	6304	622	442.00	0.00	442.00	55.0000000	                        
I	10	6308	622	425.72	35.00	390.72	55.0000000	                        
I	10	6310	622	442.00	0.00	442.00	55.0000000	                        
I	10	7178	622	442.00	0.00	442.00	55.0000000	                        
 	10	7389	622	423.38	35.00	388.38	55.0000000	                        
 	10	7389	624	423.38	35.00	388.38	55.0000000	                        
 	10	7527	624	442.00	0.00	442.00	55.0000000	                        
I	10	7529	624	442.00	0.00	442.00	55.0000000	                        
I	10	7507	633	435.61	35.00	400.61	55.0000000	                        
I	10	7308	635	434.13	35.00	399.13	55.0000000	                        
I	10	7212	654	442.00	0.00	442.00	55.0000000	                        
I	10	8098	655	440.36	35.00	405.36	55.0000000	                        
I	10	6893	656	442.00	35.00	407.00	55.0000000	                        
I	10	7506	658	442.00	0.00	442.00	55.0000000	                        
I	10	7507	659	435.61	35.00	400.61	55.0000000	                        
I	10	7531	660	444.20	35.00	409.20	55.0000000	                        
 	10	5000	991	2370.00	125.00	2245.00	265.0000000	                        
I	10	6302	134	32.00	0.00	32.00	3.9600000	                        
I	10	6304	135	32.00	0.00	32.00	3.9600000	                        
I	10	6303	136	32.00	0.00	32.00	3.9600000	                        
I	10	6302	137	30.00	0.00	30.00	3.7500000	                        
I	10	6304	138	30.00	0.00	30.00	3.9600000	                        
I	10	7178	142	32.00	0.00	32.00	3.9600000	                        
I	10	6308	143	35.00	3.00	32.00	3.9600000	                        
I	10	7178	145	28.00	0.00	28.00	3.4800000	                        
I	10	6308	146	32.50	2.50	30.00	3.7500000	                        
I	10	6302	147	28.00	0.00	28.00	3.4800000	                        
I	10	6303	148	28.00	0.00	28.00	3.4800000	                        
I	10	6304	149	28.00	0.00	28.00	3.4800000	                        
I	10	6311	154	30.00	0.00	30.00	3.7500000	                        
I	10	6312	157	30.00	0.00	30.00	3.7500000	                        
I	10	6308	069	14.50	1.50	13.00	1.5800000	                        
I	10	6304	070	13.00	0.00	13.00	1.5800000	                        
I	10	6302	071	13.00	0.00	13.00	1.5800000	                        
I	10	6303	072	13.00	0.00	13.00	1.5800000	                        
I	10	6310	073	13.00	0.00	13.00	1.5800000	                        
 	10	4392	093	101.00	5.00	96.00	3.3500000	                        
 	10	4392	094	39.00	3.00	36.00	5.0400000	                        
 	10	7929	577	6.00	0.00	6.00	0.7500000	                        
 	10	7929	579	24.00	0.00	24.00	2.2500000	                        
 	10	7142	009	24.02	2.50	21.52	3.0000000	                        
 	10	7143	009	24.02	2.50	21.52	3.0000000	                        
 	10	7168	009	24.35	2.50	21.85	3.0000000	                        
I	10	7142	354	24.00	2.50	21.50	3.0000000	                        
I	10	7143	354	23.98	2.50	21.48	3.0000000	                        
 	10	7142	601	429.52	35.00	394.52	55.0000000	                        
 	10	7168	601	435.61	35.00	400.61	55.0000000	                        
I	10	7142	982	429.50	35.00	394.50	55.0000000	                        
 	10	7143	982	429.52	35.00	394.52	55.0000000	                        
I	10	7212	307	40.00	0.00	40.00	5.0000000	                        
I	10	8098	045	1700.00	0.00	1700.00	330.0000000	                        
I	10	7506	046	2561.57	146.00	2415.57	330.0000000	                        
I	10	4392	796	2394.00	146.00	2248.00	330.0000000	                        
I	10	7391	221	13.00	0.00	13.00	1.5800000	                        
I	10	7391	222	12.00	0.00	12.00	1.5000000	                        
I	10	7391	589	402.00	0.00	402.00	55.0000000	                        
 	10	7931	589	429.35	35.00	394.35	55.0000000	                        
 	10	7931	221	13.86	2.50	11.36	1.5800000	                        
 	10	7931	222	13.26	2.50	10.76	1.5000000	                        
