WTDEL	WTCONO	WTPROD	WTCNTR	WTGROS	WTTARE	WTNET	WTGAL	WTF001
 	10	6967	982	436.10	35.00	401.10	55.0000000	                        
I	10	6968	982	436.10	35.00	401.10	55.0000000	                        
 	10	6969	982	436.10	35.00	401.10	55.0000000	                        
 	10	6970	982	436.10	35.00	401.10	55.0000000	                        
 	10	6978	448	39.00	2.50	36.50	5.0000000	                        
I	10	7030	009	24.76	2.80	21.96	3.0000000	                        
 	10	7030	024	24.76	2.80	21.96	3.0000000	                        
I	10	7030	354	24.29	2.80	21.49	3.0000000	                        
I	10	7030	355	24.50	2.80	21.70	3.0000000	                        
I	10	7040	024	24.50	2.40	22.10	3.0000000	                        
I	10	7040	354	24.29	0.00	24.29	3.0000000	                        
I	10	7040	355	24.50	2.80	21.70	3.0000000	                        
I	10	7113	009	24.61	2.50	22.11	3.0000000	                        
I	10	7113	016	24.50	2.50	22.00	3.0000000	                        
I	10	7113	027	24.50	2.50	22.00	3.0000000	                        
I	10	7113	354	24.50	2.80	21.70	3.0000000	                        
I	10	7113	501	41.50	2.50	39.00	5.0000000	                        
I	10	7113	502	39.00	2.50	36.50	5.0000000	                        
I	10	7113	601	440.36	35.00	405.36	55.0000000	                        
I	10	7113	603	436.10	35.00	401.10	55.0000000	                        
I	10	7113	982	442.00	35.00	407.00	0.0000000	                        
I	10	7114	009	24.50	2.50	22.00	3.0000000	                        
I	10	7114	354	24.29	2.80	21.49	3.0000000	                        
I	10	7114	502	39.00	2.50	36.50	5.0000000	                        
I	10	7114	603	436.10	35.00	401.10	55.0000000	                        
I	10	7114	605	442.00	35.00	407.00	55.0000000	                        
I	10	7114	646	436.10	35.00	401.10	55.0000000	                        
I	10	7114	982	436.10	35.00	401.10	55.0000000	                        
I	10	7115	009	24.50	2.50	22.00	3.0000000	                        
I	10	7115	601	442.00	35.00	407.00	55.0000000	                        
I	10	7116	100	32.00	2.80	29.20	4.0000000	                        
I	10	7116	101	32.00	2.90	29.10	4.0000000	                        
I	10	7116	605	442.00	35.00	407.00	55.0000000	                        
I	10	7117	009	24.50	2.50	22.00	3.0000000	                        
I	10	7117	101	32.00	2.90	29.10	4.0000000	                        
I	10	7117	601	442.00	35.00	407.00	55.0000000	                        
I	10	7118	101	32.00	2.90	29.10	4.0000000	                        
I	10	7118	601	442.00	35.00	407.00	55.0000000	                        
I	10	7118	605	442.00	35.00	407.00	55.0000000	                        
I	10	7119	009	24.61	2.50	22.11	3.0000000	                        
I	10	7119	601	442.00	35.00	407.00	55.0000000	                        
I	10	7123	009	24.50	2.50	22.00	3.0000000	                        
I	10	7123	016	24.50	2.50	22.00	3.0000000	                        
I	10	7123	017	24.50	2.50	22.00	3.0000000	                        
I	10	7123	027	24.50	2.50	22.00	3.0000000	                        
I	10	7123	028	24.50	2.50	22.00	3.0000000	                        
I	10	7123	100	32.00	2.80	29.20	4.0000000	                        
I	10	7123	101	32.00	2.90	29.10	4.0000000	                        
I	10	7123	103	32.00	2.90	29.10	4.0000000	                        
I	10	7123	202	32.40	2.90	29.50	0.0000000	                        
I	10	7123	354	24.50	2.80	21.70	3.0000000	                        
I	10	7123	501	41.50	2.50	39.00	5.0000000	                        
I	10	7123	502	39.00	2.50	36.50	5.0000000	                        
I	10	7123	601	442.00	35.00	407.00	55.0000000	                        
I	10	7123	603	436.10	35.00	401.10	55.0000000	                        
I	10	7123	982	442.00	35.00	407.00	55.0000000	                        
I	10	7127	009	24.07	2.50	21.57	3.0000000	                        
I	10	7127	016	24.50	2.50	22.00	3.0000000	                        
I	10	7127	017	24.50	2.50	22.00	3.0000000	                        
I	10	7127	027	24.50	2.50	22.00	3.0000000	                        
I	10	7127	028	24.50	2.50	22.00	3.0000000	                        
I	10	7127	103	32.00	2.90	29.10	4.0000000	                        
I	10	7127	354	24.29	2.80	21.49	3.0000000	                        
I	10	7127	501	38.87	3.00	35.87	5.0000000	                        
I	10	7127	502	39.00	2.50	36.50	5.0000000	                        
I	10	7127	601	429.54	35.00	394.54	55.0000000	                        
I	10	7127	603	436.10	35.00	401.10	55.0000000	                        
 	10	7127	982	429.54	35.00	394.54	55.0000000	                        
I	10	7128	008	24.50	2.50	22.00	3.0000000	                        
I	10	7128	009	24.40	2.50	21.90	3.0000000	                        
I	10	7128	016	24.50	2.50	22.00	3.0000000	                        
I	10	7128	017	24.50	2.50	22.00	3.0000000	                        
I	10	7128	027	24.50	2.50	22.00	3.0000000	                        
I	10	7128	028	24.50	0.00	24.50	3.0000000	                        
I	10	7128	101	32.00	2.90	29.10	4.0000000	                        
I	10	7128	103	32.00	2.90	29.10	4.0000000	                        
I	10	7128	354	24.29	2.80	21.49	3.0000000	                        
I	10	7128	501	39.00	2.50	36.50	5.0000000	                        
I	10	7128	502	39.00	2.50	36.50	5.0000000	                        
I	10	7128	601	442.00	35.00	407.00	55.0000000	                        
I	10	7128	603	436.10	35.00	401.10	55.0000000	                        
I	10	7128	982	442.00	35.00	407.00	55.0000000	                        
 	10	7129	009	24.23	2.50	21.73	3.0000000	                        
I	10	7129	016	24.50	2.50	22.00	3.0000000	                        
I	10	7129	017	24.50	2.50	22.00	3.0000000	                        
I	10	7129	027	24.50	2.50	22.00	3.0000000	                        
I	10	7129	028	24.50	2.50	22.00	3.0000000	                        
 	10	7129	100	31.97	3.00	28.97	4.0000000	                        
 	10	7129	101	31.97	3.00	28.97	4.0000000	                        
I	10	7129	103	32.00	2.90	29.10	4.0000000	                        
I	10	7129	354	24.29	2.80	21.49	3.0000000	                        
 	10	7129	501	39.25	3.00	36.25	5.0000000	                        
I	10	7129	502	39.00	2.50	36.50	5.0000000	                        
 	10	7129	601	433.39	35.00	398.39	55.0000000	                        
I	10	7129	603	436.10	35.00	401.10	55.0000000	                        
 	10	7129	982	433.39	35.00	398.39	55.0000000	                        
I	10	7131	101	32.00	4.60	27.40	4.0000000	                        
I	10	7131	448	39.00	2.50	36.50	5.0000000	                        
 	10	7132	009	24.02	2.50	21.52	3.0000000	                        
 	10	7132	028	24.05	2.50	21.55	3.0000000	                        
I	10	7132	354	24.50	2.80	21.70	3.0000000	                        
I	10	7132	432	32.00	4.60	27.40	4.0000000	                        
 	10	7132	601	429.04	35.00	394.04	55.0000000	                        
 	10	7132	615	429.04	35.00	394.04	55.0000000	                        
I	10	7132	982	442.00	35.00	407.00	55.0000000	                        
I	10	7133	028	24.50	2.50	22.00	3.0000000	                        
I	10	7133	601	442.00	35.00	407.00	55.0000000	                        
I	10	7133	982	442.00	35.00	407.00	55.0000000	                        
I	10	7134	009	24.50	2.50	22.00	0.0300000	                        
I	10	7155	106	32.00	2.90	29.10	4.0000000	                        
I	10	7161	011	24.29	0.00	24.29	3.0000000	                        
I	10	7161	025	25.80	2.70	23.10	3.7900000	                        
I	10	7161	101	32.00	0.00	32.00	4.0000000	                        
I	10	7162	025	25.80	2.70	23.10	3.7900000	                        
I	10	7163	011	24.50	2.50	22.00	3.0000000	                        
I	10	7163	028	24.50	2.50	22.00	3.0000000	                        
I	10	7165	025	25.80	2.70	23.10	3.7900000	                        
